Zip_code,Total population,Population < 5 years,Population between 65 to 74 years,Population between 75 to 84 years,Population >= 85,Median age (years),city,total targeted population,city rank,rank
15003,11212,569,1327,484,279,41.7,Ambridge,2659,1.0,387.0
15004,380,0,34,8,0,30.8,Atlasburg,42,1.0,1574.5
15005,9191,289,1394,708,432,51.0,Baden,2823,1.0,367.0
15006,292,7,40,18,0,51.7,Bairdford,65,1.0,1487.0
15007,629,0,135,179,100,73.5,Bakerstown,414,1.0,1024.0
15009,15114,789,1739,1403,576,45.9,Beaver,4507,1.0,215.0
15010,27205,1519,3197,1561,1057,40.9,Beaver Falls,7334,1.0,82.0
15012,15243,796,1937,1057,601,47.4,Belle Vernon,4391,1.0,224.0
15014,3055,174,310,143,11,41.5,Brackenridge,638,1.0,856.0
15015,1267,108,163,92,22,43.4,Bradfordwoods,385,1.0,1049.5
15017,15363,811,1744,970,915,44.6,Bridgeville,4440,1.0,222.0
15018,1296,103,84,167,19,56.2,Buena Vista,373,1.0,1058.5
15019,1617,72,198,56,101,43.7,Bulger,427,1.0,1009.0
15021,7093,264,886,518,339,50.7,Burgettstown,2007,1.0,469.5
15022,9692,470,1098,555,236,45.5,Charleroi,2359,1.0,424.0
15024,8555,430,1069,518,333,48.2,Cheswick,2350,1.0,425.0
15025,15911,887,1859,927,699,44.2,Clairton,4372,1.0,227.0
15026,3324,221,254,163,51,37.5,Clinton,689,1.0,838.0
15027,2287,105,213,297,65,49.0,Conway,680,1.0,842.0
15028,143,3,26,26,10,59.1,McKeesport,65,5.0,1487.0
15030,1124,56,76,42,28,40.8,Creighton,202,1.0,1223.5
15031,451,9,53,43,0,37.4,Cuddy,105,1.0,1372.0
15033,4675,306,602,278,79,47.1,Donora,1265,1.0,618.0
15034,1710,63,183,113,128,48.6,Dravosburg,487,1.0,955.5
15035,1885,22,263,126,80,54.0,East McKeesport,491,1.0,952.5
15037,10239,463,1311,715,468,49.0,Elizabeth,2957,1.0,349.0
15038,470,0,0,14,17,35.5,Elrama,31,1.0,1622.0
15042,7951,441,1428,895,321,52.3,Freedom,3085,1.0,330.0
15043,2228,150,326,150,7,48.1,Georgetown,633,1.0,859.0
15044,28105,1573,3228,1641,962,46.5,Gibsonia,7404,1.0,81.0
15045,4338,314,413,154,97,40.7,Glassport,978,1.0,713.0
15046,2573,131,331,153,59,47.3,Glenwillard,674,1.0,844.0
15049,904,17,117,77,20,56.0,Harwick,231,1.0,1196.0
15050,2690,80,240,193,5,44.1,Hookstown,518,1.0,931.5
15051,466,16,97,10,0,42.7,Indianola,123,1.0,1341.5
15052,2958,142,373,151,39,43.8,Industry,705,1.0,826.5
15053,107,8,21,6,0,60.1,Joffre,35,1.0,1605.5
15054,315,77,26,0,24,26.6,Langeloth,127,1.0,1333.0
15055,1030,70,226,112,22,58.0,Lawrence,430,1.0,1003.0
15056,1063,31,128,92,24,47.1,Leetsdale,275,1.0,1151.0
15057,16834,1180,1407,771,361,40.3,McDonald,3719,1.0,271.0
15059,4227,255,395,273,112,39.9,Midland,1035,1.0,697.0
15060,873,40,99,74,18,45.0,Midway,231,1.0,1196.0
15061,12178,789,1199,677,275,40.1,Monaca,2940,1.0,352.0
15062,7287,424,854,529,287,47.3,Monessen,2094,1.0,454.0
15063,11511,433,1062,833,546,47.3,Monongahela,2874,1.0,358.5
15064,257,0,19,8,0,42.2,Morgan,27,1.0,1633.0
15065,11280,472,1418,829,228,47.4,Natrona Heights,2947,1.0,350.0
15066,12487,871,1708,659,247,43.5,New Brighton,3485,1.0,293.0
15067,2532,136,458,88,86,47.5,New Eagle,768,1.0,793.0
15068,37442,1668,4514,1925,1108,46.9,New Kensington,9215,1.0,49.0
15071,11595,582,1018,374,154,40.7,Oakdale,2128,1.0,448.0
15074,8190,467,843,511,184,44.4,Rochester,2005,1.0,471.0
15076,723,62,65,51,11,46.6,Russellton,189,1.0,1241.0
15077,192,9,12,13,16,41.2,Shippingport,50,1.0,1547.5
15078,441,0,84,67,36,53.2,Slovan,187,1.0,1246.5
15081,310,13,23,17,6,47.8,South Heights,59,1.0,1511.0
15082,153,0,18,66,0,65.4,Sturgeon,84,1.0,1428.0
15083,750,16,196,27,25,55.3,Sutersville,264,1.0,1165.5
15084,10034,655,1357,277,582,48.1,Tarentum,2871,1.0,360.0
15085,7479,344,1152,461,187,48.9,Trafford,2144,1.0,446.0
15086,422,0,125,7,0,52.5,Warrendale,132,1.0,1326.0
15087,73,0,0,16,10,59.7,Webster,26,1.0,1637.5
15088,507,44,24,2,7,30.1,West Elizabeth,77,1.0,1453.5
15089,6476,263,984,442,231,51.6,West Newton,1920,1.0,485.0
15090,23970,1257,2069,694,438,40.7,Wexford,4458,1.0,221.0
15101,25594,1787,2645,1577,794,44.2,Allison Park,6803,1.0,106.0
15102,29419,1541,3779,1886,1019,47.0,Bethel Park,8225,1.0,63.0
15104,8492,415,940,461,203,40.4,Braddock,2019,1.0,466.0
15106,19438,1153,2558,1026,761,44.8,Carnegie,5498,1.0,161.0
15108,41447,1942,4870,2450,1056,42.0,Coraopolis,10318,1.0,31.0
15110,5534,683,330,185,114,29.6,Duquesne,1312,1.0,610.0
15112,3073,284,261,112,38,32.7,East Pittsburgh,695,1.0,835.5
15116,14088,659,2003,1079,410,46.6,Glenshaw,4151,1.0,241.0
15120,18424,1592,1612,1287,861,43.6,Homestead,5352,1.0,164.0
15122,19500,881,1985,1318,639,46.6,West Mifflin,4823,1.0,195.0
15126,6805,465,542,175,45,40.9,Imperial,1227,1.0,626.0
15129,10363,449,1194,577,142,43.4,South Park Township,2362,1.0,421.0
15131,7960,228,1050,710,516,52.4,McKeesport,2504,2.0,400.0
15132,20915,1109,2172,1063,958,43.7,McKeesport,5302,1.0,165.0
15133,6173,349,684,433,136,45.3,McKeesport,1602,3.0,537.0
15135,5004,150,594,248,145,47.2,McKeesport,1137,4.0,665.0
15136,22183,1506,2140,1150,504,39.5,McKees Rocks,5300,1.0,166.0
15137,10215,450,1376,521,406,45.4,North Versailles,2753,1.0,373.0
15139,6504,300,752,432,337,45.9,Oakmont,1821,1.0,500.0
15140,3180,256,287,130,91,41.3,Pitcairn,764,1.0,796.0
15142,957,0,214,82,0,54.1,Presto,296,1.0,1134.0
15143,21966,1017,2281,1698,1061,46.7,Sewickley,6057,1.0,134.0
15144,4002,205,640,191,122,48.8,Springdale,1158,1.0,654.0
15145,6982,385,998,268,193,42.7,Turtle Creek,1844,1.0,498.0
15146,27541,1256,3506,1537,1114,45.3,Monroeville,7413,1.0,80.0
15147,16693,968,1985,1251,952,47.3,Verona,5156,1.0,170.0
15148,2423,108,232,119,50,40.0,Wilmerding,509,1.0,936.5
15201,12922,485,1074,448,379,35.4,Pittsburgh,2386,30.0,417.0
15202,19261,919,1820,1065,451,37.7,Pittsburgh,4255,15.0,237.0
15203,10782,225,571,359,152,28.1,Pittsburgh,1307,36.0,611.0
15204,7905,390,628,388,172,39.4,Pittsburgh,1578,34.0,543.0
15205,21379,1511,2264,871,323,37.1,Pittsburgh,4969,11.0,185.0
15206,29197,1610,2683,1197,953,35.8,Pittsburgh,6443,7.0,124.0
15207,10522,754,1263,716,375,43.1,Pittsburgh,3108,23.0,328.0
15208,8916,429,1195,531,323,41.1,Pittsburgh,2478,29.0,402.0
15209,12087,513,1560,653,264,46.9,Pittsburgh,2990,26.0,341.0
15210,26875,1193,2173,1020,303,35.8,Pittsburgh,4689,13.0,204.0
15211,10457,448,886,680,210,34.7,Pittsburgh,2224,31.0,440.0
15212,27067,1527,2600,1077,500,38.6,Pittsburgh,5704,8.0,152.0
15213,27347,216,1113,656,767,21.7,Pittsburgh,2752,27.0,374.0
15214,14203,1019,1198,696,337,38.5,Pittsburgh,3250,22.0,311.0
15215,12637,661,1500,574,358,44.4,Pittsburgh,3093,24.0,329.0
15216,22670,1449,1798,859,671,37.7,Pittsburgh,4777,12.0,199.0
15217,27566,1519,3159,1261,818,36.3,Pittsburgh,6757,6.0,109.0
15218,13495,630,1565,646,208,39.9,Pittsburgh,3049,25.0,335.0
15219,16101,878,1004,594,207,26.9,Pittsburgh,2683,28.0,382.0
15220,17401,1035,1523,942,696,38.1,Pittsburgh,4196,16.0,240.0
15221,29451,1531,3640,2106,732,43.6,Pittsburgh,8009,4.0,67.0
15222,5468,34,396,153,11,30.8,Pittsburgh,594,37.0,885.5
15223,6493,329,734,405,130,43.6,Pittsburgh,1598,33.0,538.0
15224,11079,386,1031,377,286,33.4,Pittsburgh,2080,32.0,457.0
15225,1006,34,148,66,26,48.1,Pittsburgh,274,39.0,1152.5
15226,13925,742,1474,780,609,42.9,Pittsburgh,3605,20.0,284.5
15227,27774,1747,2657,1523,856,39.7,Pittsburgh,6783,5.0,107.0
15228,17508,670,1645,978,397,42.0,Pittsburgh,3690,18.0,274.0
15229,14378,1243,1370,842,380,39.9,Pittsburgh,3835,17.0,265.0
15232,12017,350,759,255,182,28.5,Pittsburgh,1546,35.0,551.0
15233,3466,103,246,107,8,34.7,Pittsburgh,464,38.0,972.0
15234,13711,452,1563,983,300,43.1,Pittsburgh,3298,21.0,307.0
15235,34339,1960,3848,1894,1037,41.7,Pittsburgh,8739,2.0,57.0
15236,28499,1609,3583,1968,1019,44.7,Pittsburgh,8179,3.0,64.0
15237,41264,2293,5201,2498,1464,43.5,Pittsburgh,11456,1.0,19.0
15238,12358,630,1582,1048,411,49.1,Pittsburgh,3671,19.0,278.0
15239,20523,978,2240,1324,555,44.3,Pittsburgh,5097,10.0,175.0
15241,20952,1170,1775,1087,1115,44.6,Pittsburgh,5147,9.0,171.0
15243,12991,674,1944,1049,805,50.6,Pittsburgh,4472,14.0,217.0
15301,49238,2445,5661,3846,1466,45.5,Washington,13418,1.0,8.0
15310,242,27,35,10,5,50.8,Aleppo,77,1.0,1453.5
15311,1369,100,152,72,16,41.7,Amity,340,1.0,1092.0
15312,4009,281,399,179,40,41.0,Avella,899,1.0,735.5
15313,355,21,78,23,8,47.5,Beallsville,130,1.0,1329.5
15314,3478,288,330,165,98,43.9,Bentleyville,881,1.0,744.5
15315,648,132,35,28,0,32.8,Bobtown,195,1.0,1234.5
15317,39823,2461,4043,2255,942,41.1,Canonsburg,9701,1.0,39.0
15320,5157,230,521,413,149,46.5,Carmichaels,1313,1.0,609.0
15321,1497,137,149,56,0,35.1,Cecil,342,1.0,1088.0
15322,1655,51,166,103,53,45.6,Clarksville,373,1.0,1058.5
15323,4265,265,509,143,89,44.4,Claysville,1006,1.0,704.0
15324,671,47,139,40,14,45.9,Cokeburg,240,1.0,1189.0
15325,341,30,49,14,0,56.6,Crucible,93,1.0,1402.0
15327,1521,80,265,101,7,46.5,Dilliner,453,1.0,982.0
15329,1547,88,170,75,11,47.0,Prosperity,344,1.0,1084.5
15330,5039,81,904,535,84,55.1,Eighty Four,1604,1.0,536.0
15331,753,18,85,75,3,44.6,Ellsworth,181,1.0,1254.5
15332,8616,378,1112,604,245,47.4,Finleyville,2339,1.0,427.0
15333,1926,102,174,56,38,40.3,Fredericktown,370,1.0,1061.5
15334,251,12,13,0,0,21.0,Garards Fort,25,1.0,1641.5
15337,447,15,63,17,7,44.3,Graysville,102,1.0,1376.5
15338,1789,170,225,37,10,37.3,Greensboro,442,1.0,996.0
15340,1172,15,338,86,46,61.5,Hickory,485,1.0,957.5
15341,772,43,98,37,2,41.6,Holbrook,180,1.0,1257.0
15342,4892,261,777,285,85,50.2,Houston,1408,1.0,583.5
15344,1628,125,180,109,47,43.8,Jefferson,461,1.0,974.0
15345,1370,88,153,96,16,42.8,Marianna,353,1.0,1078.0
15346,495,0,58,10,23,52.1,Mather,91,1.0,1409.5
15347,345,30,73,0,0,56.4,Meadow Lands,103,1.0,1373.5
15348,186,30,13,0,0,29.7,Millsboro,43,1.0,1569.5
15349,1497,112,163,78,52,46.6,Mount Morris,405,1.0,1031.5
15350,490,40,52,9,16,40.0,Muse,117,1.0,1353.0
15351,943,29,53,0,0,32.8,Nemacolin,82,1.0,1438.0
15352,939,55,87,34,31,33.9,New Freeport,207,1.0,1219.0
15353,134,0,29,11,0,45.8,Nineveh,40,1.0,1584.0
15357,1513,57,274,97,57,48.0,Rices Landing,485,1.0,957.5
15358,1058,67,150,0,21,31.8,Richeyville,238,1.0,1190.0
15359,203,18,15,2,6,39.4,Rogersville,41,1.0,1579.5
15360,1785,97,243,66,33,43.5,Scenery Hill,439,1.0,998.0
15362,733,40,115,37,19,50.1,Spraggs,211,1.0,1213.0
15363,418,0,62,0,13,45.2,Strabane,75,1.0,1462.5
15364,784,48,79,46,9,46.7,Sycamore,182,1.0,1252.0
15366,478,0,399,0,0,66.5,Van Voorhis,399,1.0,1037.0
15367,9559,477,780,201,36,40.8,Venetia,1494,1.0,565.0
15368,357,13,39,14,18,50.2,Vestaburg,84,1.0,1428.0
15370,13994,554,1622,674,358,42.0,Waynesburg,3208,1.0,316.0
15376,1547,43,251,79,41,46.8,West Alexander,414,1.0,1024.0
15377,689,43,52,15,3,46.8,West Finley,113,1.0,1362.0
15379,108,1,4,16,5,41.4,West Middletown,26,1.0,1637.5
15380,655,66,50,30,8,29.8,Wind Ridge,154,1.0,1288.0
15401,30401,1637,3912,1941,1144,45.6,Uniontown,8634,1.0,61.0
15410,1422,170,124,56,15,32.8,Adah,365,1.0,1068.0
15411,629,22,90,55,1,45.3,Addison,168,1.0,1276.0
15412,426,19,50,53,7,51.4,Allenport,129,1.0,1331.0
15413,347,17,0,43,16,44.4,Allison,76,1.0,1457.5
15417,8398,378,1090,300,162,46.3,Brownsville,1930,1.0,483.0
15419,4333,99,238,202,333,23.5,California,872,1.0,746.0
15420,250,0,14,0,0,23.4,Cardale,14,1.0,1665.5
15422,140,0,22,0,0,55.1,New Salem,22,2.0,1650.5
15423,2487,40,249,84,32,36.5,Coal Center,405,1.0,1031.5
15424,2006,70,282,185,72,48.6,Confluence,609,1.0,874.0
15425,18905,1011,2126,1068,662,44.7,Connellsville,4867,1.0,193.0
15427,971,59,136,43,29,45.4,Daisytown,267,1.0,1160.5
15428,1880,77,230,74,54,45.7,Dawson,435,1.0,1000.0
15430,339,8,73,0,10,47.7,Dickerson Run,91,1.0,1409.5
15431,4167,306,334,290,169,48.1,Dunbar,1099,1.0,680.0
15432,453,12,61,28,27,45.8,Dunlevy,128,1.0,1332.0
15433,641,0,134,143,35,62.7,East Millsboro,312,1.0,1115.0
15434,308,5,26,27,11,43.0,Elco,69,1.0,1476.5
15435,429,16,74,34,22,49.8,Fairbank,146,1.0,1301.5
15436,2602,114,302,109,69,41.3,Fairchance,594,1.0,885.5
15437,2861,196,134,141,30,30.8,Farmington,501,1.0,943.0
15438,2087,66,165,132,50,49.1,Fayette City,413,1.0,1026.0
15440,125,0,42,0,0,63.3,Gibbon Glade,42,1.0,1574.5
15442,2060,232,316,143,65,40.7,Grindstone,756,1.0,802.5
15444,676,10,76,0,0,26.7,Hiller,86,1.0,1422.5
15445,2690,108,394,146,181,46.4,Hopwood,829,1.0,767.0
15446,162,0,0,16,15,40.3,Indian Head,31,1.0,1622.0
15448,234,0,25,0,0,40.7,Jacobs Creek,25,1.0,1641.5
15449,229,0,40,26,28,52.9,Smock,94,2.0,1398.0
15450,2414,0,99,20,16,37.5,La Belle,135,1.0,1319.5
15451,1313,78,127,72,44,44.1,Lake Lynn,321,1.0,1104.0
15454,97,14,14,0,0,23.9,McClellandtown,28,2.0,1631.0
15455,381,35,92,11,0,48.3,Vanderbilt,138,2.0,1314.0
15456,2824,195,433,182,33,49.9,Lemont Furnace,843,1.0,758.5
15458,2449,168,257,183,94,50.1,McClellandtown,702,1.0,829.5
15459,1625,73,188,126,66,43.1,Markleysburg,453,1.0,982.0
15460,166,16,16,10,0,28.4,Smithfield,42,2.0,1574.5
15461,4014,283,369,213,181,38.2,Masontown,1046,1.0,693.5
15462,321,11,12,0,0,27.1,Melcroft,23,1.0,1648.0
15464,1498,48,113,42,66,47.2,Mill Run,269,1.0,1156.5
15466,521,47,52,29,7,32.5,Newell,135,1.0,1319.5
15467,123,0,58,0,0,62.8,New Geneva,58,1.0,1514.0
15468,2461,205,222,54,77,45.6,New Salem,558,1.0,910.5
15469,2491,79,330,289,185,54.3,Normalville,883,1.0,743.0
15470,633,0,118,46,13,54.4,Ohiopyle,177,1.0,1263.5
15472,142,0,43,0,0,59.4,Uniontown,43,3.0,1569.5
15473,3495,106,590,388,133,53.1,Perryopolis,1217,1.0,630.5
15474,1968,78,153,47,50,35.3,Point Marion,328,1.0,1098.0
15475,1288,89,241,62,39,43.9,Republic,431,1.0,1001.5
15477,789,15,106,36,20,41.7,Roscoe,177,1.0,1263.5
15478,5554,208,707,250,48,45.3,Smithfield,1213,1.0,633.0
15479,2151,158,295,142,27,50.8,Smithton,622,1.0,867.0
15480,1959,136,397,156,19,50.2,Smock,708,1.0,825.0
15482,241,0,48,31,8,46.7,Perryopolis,87,2.0,1419.0
15483,369,29,57,32,19,46.2,Stockdale,137,1.0,1316.5
15484,557,0,30,0,0,42.0,Uledi,30,1.0,1626.0
15486,2206,116,231,108,73,48.0,Vanderbilt,528,1.0,924.0
15489,319,13,47,36,13,44.9,Uniontown,109,2.0,1365.5
15490,407,11,13,4,15,52.9,White,43,1.0,1569.5
15501,16150,853,1951,970,547,43.5,Somerset,4321,1.0,231.0
15502,64,0,29,8,0,68.2,Hidden Valley,37,1.0,1595.0
15520,310,0,0,28,11,42.0,Acosta,39,1.0,1589.0
15521,1782,109,271,68,52,46.8,Alum Bank,500,1.0,946.5
15522,11196,407,1543,970,425,53.0,Bedford,3345,1.0,303.0
15530,5167,330,588,440,335,47.5,Berlin,1693,1.0,518.5
15531,3672,248,617,157,121,43.8,Boswell,1143,1.0,664.0
15532,144,22,13,0,2,32.7,Meyersdale,37,2.0,1595.0
15533,1292,88,129,46,19,39.0,Breezewood,282,1.0,1143.0
15534,901,32,118,57,44,47.8,Buffalo Mills,251,1.0,1184.0
15535,2018,51,281,155,20,47.4,Clearville,507,1.0,938.5
15536,338,6,32,26,12,49.5,Crystal Spring,76,1.0,1457.5
15537,8194,327,1041,781,351,48.7,Everett,2500,1.0,401.0
15538,665,31,134,50,26,55.7,Fairhope Township,241,1.0,1188.0
15539,296,25,30,0,30,35.5,Fishertown,85,1.0,1425.0
15540,289,10,103,21,4,61.9,Fort Hill,138,1.0,1314.0
15541,3255,146,253,207,91,47.5,Friedens,697,1.0,834.0
15542,1067,35,189,66,20,54.3,Garrett,310,1.0,1118.5
15544,102,0,17,16,0,61.6,Gray,33,1.0,1614.0
15545,2882,135,336,212,104,47.7,Hyndman,787,1.0,784.0
15546,523,17,19,0,110,48.1,Jenners,146,1.0,1301.5
15547,936,29,100,31,48,38.7,Jennerstown,208,1.0,1217.0
15550,1834,104,160,142,60,42.6,Manns Choice,466,1.0,971.0
15551,632,9,131,68,5,51.6,Markleton,213,1.0,1212.0
15552,5772,327,732,394,123,44.6,Meyersdale,1576,1.0,544.5
15554,2422,102,369,79,41,47.2,New Paris,591,1.0,887.0
15555,54,2,0,3,6,56.7,Quecreek,11,2.0,1671.5
15557,3358,121,410,197,114,46.3,Rockwood,842,1.0,760.0
15558,2113,107,195,82,32,38.5,Salisbury,416,1.0,1020.5
15559,1594,46,242,78,22,52.8,Schellsburg,388,1.0,1043.5
15560,129,6,19,7,4,44.2,Shanksville,36,1.0,1600.5
15561,185,14,16,0,3,32.4,Quecreek,33,1.0,1614.0
15562,321,12,119,9,2,41.8,Springs,142,1.0,1305.5
15563,2986,154,438,243,69,47.8,Indian Lake,904,1.0,733.0
15564,49,3,14,2,0,51.9,Wellersburg,19,1.0,1653.0
15601,56328,2043,7220,4007,2544,46.9,Greensburg,15814,1.0,2.0
15610,4016,170,558,105,189,52.4,Acme,1022,1.0,701.0
15611,514,22,18,25,0,42.5,Adamsburg,65,1.0,1487.0
15612,366,15,61,0,9,48.7,Alverton,85,1.0,1425.0
15613,13122,553,1702,1316,335,51.4,Apollo,3906,1.0,258.0
15615,330,0,111,13,0,62.5,Ardara,124,1.0,1339.5
15617,291,6,33,24,3,52.9,Arona,66,1.0,1483.5
15618,2511,55,358,228,59,47.3,Avonmore,700,1.0,831.0
15620,419,12,108,48,6,55.3,Bradenville,174,1.0,1270.5
15622,1159,0,158,175,49,56.1,Champion,382,1.0,1052.0
15623,817,168,47,0,48,28.1,Claridge,263,1.0,1168.5
15624,430,0,15,109,1,49.4,Crabtree,125,1.0,1337.0
15626,4854,120,790,416,121,53.2,Delmont,1447,1.0,575.0
15627,5955,202,717,511,166,47.9,Derry,1596,1.0,539.0
15628,644,35,74,48,17,39.6,Donegal,174,1.0,1270.5
15629,697,60,34,16,24,36.8,Vandergrift,134,2.0,1323.0
15631,970,73,69,25,9,34.6,Everson,176,1.0,1266.5
15632,8316,386,1015,492,234,47.8,Export,2127,1.0,449.0
15633,517,40,30,65,25,39.9,Forbes Road,160,1.0,1282.0
15634,320,11,54,10,3,58.6,Grapeville,78,1.0,1451.0
15635,110,0,0,34,0,49.3,Hannastown,34,1.0,1610.0
15636,4658,170,311,226,27,45.5,Harrison City,734,1.0,812.0
15637,1239,54,184,128,23,42.4,Herminie,389,1.0,1041.0
15638,79,0,12,0,0,52.3,Hostetter,12,1.0,1669.0
15639,2042,139,180,75,66,45.5,Hunker,460,1.0,976.0
15640,676,107,22,9,21,31.6,Herminie,159,2.0,1283.0
15641,486,43,57,34,16,40.7,Hyde Park,150,1.0,1293.0
15642,44333,2253,4917,2161,1348,45.4,Irwin,10679,1.0,28.0
15644,18550,807,2381,1182,585,46.9,Jeannette,4955,1.0,187.0
15646,288,0,10,0,0,37.5,Jones Mills,10,1.0,1674.0
15647,325,0,32,65,0,60.0,Larimer,97,1.0,1391.5
15650,26975,1037,3269,1726,1270,45.1,Latrobe,7302,1.0,83.0
15656,9717,577,1190,591,341,46.7,Leechburg,2699,1.0,380.0
15658,8936,237,1496,686,344,53.9,Ligonier,2763,1.0,371.0
15660,448,14,111,30,0,57.0,Lowber,155,1.0,1286.5
15661,836,12,94,5,13,40.5,Loyalhanna,124,1.0,1339.5
15662,759,0,33,0,0,37.5,Luxor,33,1.0,1614.0
15663,466,7,59,13,10,48.9,Madison,89,1.0,1413.5
15665,1172,86,67,27,0,34.6,Manor,180,1.0,1257.0
15666,15750,818,2214,1051,609,47.0,Mount Pleasant,4692,1.0,203.0
15668,13469,568,2292,1193,578,50.0,Murrysville,4631,1.0,206.0
15670,3215,110,460,172,79,54.3,New Alexandria,821,1.0,772.0
15671,625,54,62,19,0,39.5,New Derry,135,1.0,1319.5
15672,3343,138,652,121,69,44.7,New Stanton,980,1.0,712.0
15673,1186,23,228,84,46,53.7,North Apollo,381,1.0,1053.5
15675,1164,208,84,34,18,28.2,Penn,344,1.0,1084.5
15676,729,135,91,48,0,33.4,Pleasant Unity,274,1.0,1152.5
15677,257,0,67,6,6,55.0,Rector,79,1.0,1449.0
15678,671,0,56,8,6,45.6,Rillton,70,1.0,1475.0
15679,2298,69,552,222,24,57.3,Ruffs Dale,867,1.0,749.5
15680,166,5,41,4,10,37.9,Avonmore,60,2.0,1507.0
15681,4773,260,558,334,116,44.8,Saltsburg,1268,1.0,617.0
15683,7680,211,936,723,256,48.3,Scottdale,2126,1.0,450.0
15684,695,17,92,89,0,53.9,Slickville,198,1.0,1227.0
15686,891,38,144,66,75,54.1,Spring Church,323,1.0,1101.0
15687,1042,44,171,146,12,54.4,Stahlstown,373,1.0,1058.5
15688,1052,38,205,25,9,47.1,Tarrs,277,1.0,1148.5
15689,202,20,13,9,0,34.4,Mount Pleasant,42,2.0,1574.5
15690,8977,503,1092,537,298,44.5,Vandergrift,2430,1.0,409.0
